IDAtributoQuestionario;IDIndicadorEspecificoQuestionario;DSAtributoQuestionario;NOAtributoQuestionario;NRPeso
2848;629;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N5;0,404970051
2849;629;"Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).  ";N4;0,247696378
2850;629;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N3;0,156624752
2851;629;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).;N2;0,068742829
2852;629;Não há sistema de drenagem pluvial na instalação portuária.;N1;0
2853;630;Há acompanhamento, indicadores de eficiência, metas de desempenho e ações de reuso.;N3;0,998742028
2854;630;Há controle das ações.;N2;0,232161534
2855;630;Não há controle das ações.;N1;0
2856;631;Há monitoramento ambiental da área dragada e da área de disposição;N3;1,235339539
2857;631;Há monitoramento ambiental da área dragada ou da área de disposição.;N2;0,449508483
2858;631;Não há monitoramento ambiental das dragagens.;N1;0
2859;632;"A instalação portuária nunca teve passivos ambientais. ";N5;1,235339539
2860;632;A instalação portuária teve passivos ambientais, que já foram remediados.;N4;0,684828835
2861;632;"A instalação portuária realizou remediação parcial dos passivos existentes ou a remediação ainda está em curso. ";N3;0,216403458
2862;632;A instalação portuária realizou diagnóstico dos passivos ambientais, mas não tomou medidas de remediação.;N2;0,072183342
2863;632;A instalação portuária possui passivos ambientais, mas não fez diagnóstico e nem adotou medidas de remediação.;N1;0
2864;633;É feito o monitoramento das emissões de materiais particulados E de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N5;1,101805927
2865;633;É feito o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N4;0,368436802
2866;633;É feito apenas o monitoramento das emissões de materiais particulados E de gases com periodicidade regular.;N3;0,170998791
2867;633;É feito apenas o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular.;N2;0,059214839
2868;633;Não atende a nenhuma das opções acima.;N1;0
2869;634;Há monitoramento periódico de ruídos e existe inventário com identificação das fontes e respectivos níveis de ruído para elaboração de mapa de riscos (PPRA).;N3;0,367268642
2870;634;Foi elaborado o mapa de riscos, mas não é feito monitoramento dos ruídos com periodicidade regular.;N2;0,106424822
2871;634;Não atende a nenhuma das opções anteriores.;N1;0
2873;635;A instalação portuária atende todas as opções listadas.;N5;7,964752347
2874;635;Atende três das opções listadas.;N4;4,589011489
2875;635;Atende duas das opções listadas.;N3;2,52059979
2876;635;Atende uma das opções listadas.;N2;0,72946978
2877;635;Não atende nenhuma das opções listadas.;N1;0
2878;636;Já foi realizado levantamento das espécies para caracterização da biota (terrestre e/ou aquática) existente na área de influência direta da instalação portuária E há monitoramento de espécies ou grupo de espécies indicadoras de alterações da qualidade ambiental decorrentes da operação da instalação portuária (uso de bioindicadores).;N3;0,978458281
2879;636;Foi realizada a caracterização da biota OU são utilizados bioindicadores.;N2;0,25785511
2880;636;Não atende a nenhuma das opções anteriores.;N1;0
2882;637;Atende todas as opções listadas.;N5;2,935374843
2883;637;Atende três das opções listadas.;N4;1,691260229
2884;637;Atende duas das opções listadas.;N3;0,928956092
2885;637;Atende uma das opções listadas.;N2;0,268842915
2886;637;Não atende nenhuma das opções listadas.;N1;0
2888;638;Atende todas as opções listadas.;N3;0,978458281
2889;638;Atende duas das opções listadas.;N2;0,356035959
2890;638;Atende uma das opções listadas.;N1;0
2891;639;A instalação portuária possui Licença de Operação válida e vigente.;N3;12,59039418
2892;639;A instalação portuária ainda não possui Licença de Operação, mas existe processo de licenciamento para regularização, o empreendedor já entregou ao órgão ambiental licenciador o estudo ambiental exigido e atualmente aguarda manifestação do mesmo.;N2;2,42002029
2893;639;A instalação portuária não possui Licença de Operação.;N1;0
2898;640;Acima do número mínimo de profissionais no Núcleo Ambiental.;N3;3,540049473
2899;640;Possui o número mínimo de profissionais no Núcleo Ambiental.;N2;1,925700038
2900;640;Abaixo do número mínimo de profissionais no Núcleo Ambiental.;N1;0
2901;641;Mais de 50% dos funcionários participaram de treinamento/capacitação.;N3;1,746619828
2902;641;Menos de 50% dos funcionários participaram de treinamento/capacitação.;N2;0,460290292
2903;641;Não participaram de treinamento/capacitação ou não foi atingido o mínimo de horas/pessoa.;N1;0
2905;642;A auditoria ambiental foi realizada até dois anos atrás.;N3;5,379711836
2906;642;A auditoria ambiental foi realizada há mais de dois anos atrás.;N2;1,417726452
2907;642;Nunca foi realizada auditoria ambiental.;N1;0
2908;643;Existe banco de dados com atualização mínima semestral.;N3;1,727190873
2909;643;Existe banco de dados, mas não há atualização mínima semestral.;N2;0,45517014
2910;643;Não existe banco de dados.;N1;0
2911;644;Atende todos os planos/programas listados abaixo.;N5;11,56238481
2912;644;Atende quatro dos planos/programas listados abaixo.;N4;6,661841377
2913;644;Atende três dos planos/programas listados abaixo.;N3;3,659140104
2914;644;Atende dois dos planos/programas listados abaixo.;N2;1,058967051
2915;644;Atende um dos planos/programas listados abaixo.;N1;0
2917;645;Nenhum acidente ambiental.;N5;3,870120688
2918;645;De um a três acidentes ambientais dentro do limite da área da instalação portuária.;N4;1,429044381
2919;645;Acima de três acidentes ambientais dentro do limite da área da instalação portuária.;N3;0,797217878
2920;645;De um a três acidentes ambientais além dos limites da área da instalação portuária.;N2;0,168073614
2921;645;Acima de três acidentes ambientais além dos limites da área da instalação portuária ou não é realizado o registro de acidentes.;N1;0
2922;646;Atende todas as opções listadas.;N5;9,543710854
2923;646;Atende três das opções listadas.;N4;5,498752108
2924;646;Atende duas das opções listadas.;N3;3,020291721
2925;646;Atende uma das opções listadas.;N2;0,874082251
2926;646;Não há retirada de resíduos dos navios na instalação portuária.;N1;0
2929;647;Atende todas as opções listadas.;N3;1,503026407
2930;647;Atende duas das opções listadas.;"N2 ";0
2931;647;Não atende qualquer das opções listadas.;N1;0
2932;648;Sim, utilizada em atividades operacionais e administrativas.;N3;0,449711874
2933;648;Sim, utilizada somente em atividades administrativas.;N2;0,163638656
2934;648;Não há geração de energia limpa e renovável pela instalação portuária.;N1;0
2935;649;Dispõe de sistema OPS.;N3;0,1794076
2936;649;Realizou estudo de viabilidade para implantação de um sistema OPS.;N2;0,074078302
2937;649;Não possui sistema OPS.;N1;0
2939;650;"Atende todas as opções listadas. ";N5;5,970455341
2940;650;Atende três das opções listadas.;N4;3,074312935
2941;650;Atende duas das opções listadas.;N3;1,406354312
2942;650;Atende uma das opções listadas.;N2;0,490177546
2943;650;Não atende nenhuma das opções listadas.;N1;0
2944;651;Mais de 22 dos itens listados.;N5;0,300511017
2945;651;De 18 a 22 dos itens listados.;N4;0,203819368
2946;651;De 12 a 17 dos itens listados.;N3;0,089028353
2947;651;De 7 a 11 dos itens listados.;N2;0,028168428
2948;651;Até 6 dos itens listados.;N1;0
2949;652;Há agenda ambiental local e há ações de implantação.;N3;1,472197306
2950;652;Há agenda ambiental local, mas não há ações de implantação.;N2;0,196653168
2951;652;Não foi elaborada agenda ambiental local.;N1;0
2952;653;Há agenda ambiental institucional e há ações de implantação.;N3;0,790989479
2953;653;Há agenda ambiental institucional, mas não há ações de implantação.;N2;0,105658791
2954;653;Não foi elaborada agenda ambiental institucional.;N1;0
2955;654;A instalação portuária possui duas ou mais certificações voluntárias.;N5;0,559314025
2956;654;A instalação portuária possui uma certificação voluntária.;N4;0,213933629
2957;654;Há certificação voluntária em processo de desenvolvimento.;N3;0,059517182
2958;654;Há planejamento formal para requisição de certificação voluntária.;N2;0,02307696
2959;654;Não atende a nenhuma das opções acima.;N1;0
2962;655;A Autoridade Portuária apresenta planilha(s) com informações atuais sobre a situação das empresas (terminais arrendados e/ou operadores avulsos) quanto a todas as opções listadas.;N5;3,789571309
2963;655;A Autoridade Portuária apresenta planilha(s) com informações sobre cinco das opções listadas.;N4;2,008619634
2964;655;A Autoridade Portuária apresenta planilha(s) com informações sobre quatro das opções listadas.;N3;0,693412326
2965;655;A Autoridade Portuária apresenta planilha(s) com informações sobre três das opções listadas.;N2;0,175350693
2966;655;A Autoridade Portuária apresenta planilha com informações sobre até duas das opções listadas.;N1;0
2968;656;Todas as empresas (100%) que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N5;2,722464478
2969;656;Entre 75% e 100% (75% = e < 100%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N4;1,443011665
2970;656;Entre 50% e 75% (50% = e < 75%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N3;0,498154085
2971;656;Entre 25% e 50% (25% = e < 50%) das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N2;0,125973625
2972;656;Menos de 25% das empresas que movimentam/armazenam carga (terminais arrendados e/ou operadores avulsos) possuem licença adequada ao seu status (LP/LI/LO) e vigente.;N1;0
2973;657;Todos (100%) os terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N5;1,516842941
2974;657;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N4;0,803985534
2975;657;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N3;0,277550548
2976;657;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N2;0,070187216
2977;657;Menos de 25% dos terminais arrendados possuem PEI e apresentam capacidade operacional adequada ao atendimento às emergências envolvendo vazamentos de óleo.;N1;0
2978;658;Todos (100%) os terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N5;0,693282819
2979;658;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N4;0,367466758
2980;658;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N3;0,126856262
2981;658;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N2;0,032079518
2982;658;Menos de 25% dos terminais arrendados realizaram auditoria ambiental dentro do prazo dos dóis últimos anos.;N1;0
2983;659;Todos (100%) os terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N5;1,020759603
2984;659;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N4;0,541042143
2985;659;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N3;0,186777668
2986;659;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N2;0,047232494
2987;659;Menos de 25% dos terminais arrendados possuem seus respectivos planos de gerenciamento de resíduos sólidos.;N1;0
2988;660;Todas (100%) as empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações;N5;0,31872266
2989;660;Entre 75% e 100% (75% = e < 100%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N4;0,16893536
2990;660;Entre 50% e 75% (50% = e < 75%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N3;0,058319584
2991;660;Entre 25% e 50% (25% = e < 50%) das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N2;0,014747905
2992;660;Menos de 25% das empresas (terminais arrendados e/ou operadores avulsos) possuem pelo menos duas certificações.;N1;0
2993;661;Todos (100%) os terminais arrendados desenvolvem programas de educação ambiental.;N5;0,654266288
2994;661;Entre 75% e 100% (75% = e < 100%) dos terminais arrendados desenvolvem programas de educação ambiental.;N4;0,346786485
2995;661;Entre 50% e 75% (50% = e < 75%) dos terminais arrendados desenvolvem programas de educação ambiental.;N3;0,119717053
2996;661;Entre 25% e 50% (25% = e < 50%) dos terminais arrendados desenvolvem programas de educação ambiental.;N2;0,030274149
2997;661;Menos de 25% dos terminais arrendados desenvolvem programas de educação ambiental.;N1;0
2998;662;Atende todas as opções listadas.;N3;4,956450125
2999;662;Atende duas das opções listadas;N2;1,306183429
3000;662;Atende uma das opções listadas.;N1;0
3002;663;Realizou quatro ou mais ações de promoção de saúde no último ano.;N5;0,826075021
3003;663;Realizou três ações de promoção de saúde no último ano.;N4;0,47595551
3004;663;Realizou duas ações de promoção de saúde no último ano.;N3;0,261427403
3005;663;Realizou uma ação de promoção de saúde no último ano.;N2;0,075657941
3006;663;Não realizou qualquer ação de promoção de saúde no último ano.;N1;0
3007;664;Atende todas as opções listadas.;N5;1,652150042
3008;664;Atende três das opções listadas.;N4;1,019351309
3009;664;Atende duas das opções listadas.;N3;0,413807633
3010;664;Atende uma das opções listadas.;N2;0,107102375
3011;664;Não atende nenhuma das opções listadas.;N1;0
3013;665;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água e possui o registro sistematizado das informações na forma de um banco de dados.;N5;2,463109649
3014;665;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água, mas não possui o banco de dados;N4;0,823647994
3015;665;A instalação portuária apenas promove estudos ou levantamentos esporádicos da qualidade da água para atender o licenciamento de obras específicas (dragagens, ampliações, novas estruturas).;N3;0,38227129
3016;665;Não faz monitoramento ou promove estudos, mas possui dados secundários gerados por terceiros sem qualquer vínculo com o porto.;N2;0,132375982
3017;665;A instalação portuária não conhece ou dispõe de qualquer informação sobre a qualidade da água.;N1;0
3018;666;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N5;0,404970051
3019;666;"Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).  ";N4;0,247696378
3020;666;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N3;0,156624752
3021;666;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).;N2;0,068742829
3022;666;Não há sistema de drenagem pluvial na instalação portuária.;N1;0
3023;667;Há acompanhamento, indicadores de eficiência, metas de desempenho e ações de reuso.;N3;0,998742028
3024;667;Há controle das ações.;N2;0,232161534
3025;667;Não há controle das ações.;N1;0
3026;668;Há monitoramento ambiental da área dragada e da área de disposição;N3;1,235339539
3027;668;Há monitoramento ambiental da área dragada ou da área de disposição.;N2;0,449508483
3028;668;Não há monitoramento ambiental das dragagens.;N1;0
3029;669;"A instalação portuária nunca teve passivos ambientais. ";N5;1,235339539
3030;669;A instalação portuária teve passivos ambientais, que já foram remediados.;N4;0,684828835
3031;669;"A instalação portuária realizou remediação parcial dos passivos existentes ou a remediação ainda está em curso. ";N3;0,216403458
3032;669;A instalação portuária realizou diagnóstico dos passivos ambientais, mas não tomou medidas de remediação.;N2;0,072183342
3033;669;A instalação portuária possui passivos ambientais, mas não fez diagnóstico e nem adotou medidas de remediação.;N1;0
3034;670;É feito o monitoramento das emissões de materiais particulados E de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N5;1,101805927
3035;670;É feito o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N4;0,368436802
3036;670;É feito apenas o monitoramento das emissões de materiais particulados E de gases com periodicidade regular.;N3;0,170998791
3037;670;É feito apenas o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular.;N2;0,059214839
3038;670;Não atende a nenhuma das opções acima.;N1;0
3039;671;Há monitoramento periódico de ruídos e existe inventário com identificação das fontes e respectivos níveis de ruído para elaboração de mapa de riscos (PPRA).;N3;0,367268642
3040;671;Foi elaborado o mapa de riscos, mas não é feito monitoramento dos ruídos com periodicidade regular.;N2;0,106424822
3041;671;Não atende a nenhuma das opções anteriores.;N1;0
3043;672;A instalação portuária atende todas as opções listadas.;N5;7,964752347
3044;672;Atende três das opções listadas.;N4;4,589011489
3045;672;Atende duas das opções listadas.;N3;2,52059979
3046;672;Atende uma das opções listadas.;N2;0,72946978
3047;672;Não atende nenhuma das opções listadas.;N1;0
3048;673;Já foi realizado levantamento das espécies para caracterização da biota (terrestre e/ou aquática) existente na área de influência direta da instalação portuária E há monitoramento de espécies ou grupo de espécies indicadoras de alterações da qualidade ambiental decorrentes da operação da instalação portuária (uso de bioindicadores).;N3;0,978458281
3049;673;Foi realizada a caracterização da biota OU são utilizados bioindicadores.;N2;0,25785511
3050;673;Não atende a nenhuma das opções anteriores.;N1;0
3052;674;Atende todas as opções listadas.;N5;2,935374843
3053;674;Atende três das opções listadas.;N4;1,691260229
3054;674;Atende duas das opções listadas.;N3;0,928956092
3055;674;Atende uma das opções listadas.;N2;0,268842915
3056;674;Não atende nenhuma das opções listadas.;N1;0
3058;675;Atende todas as opções listadas.;N3;0,978458281
3059;675;Atende duas das opções listadas.;N2;0,356035959
3060;675;Atende uma das opções listadas.;N1;0
3061;676;A instalação portuária possui Licença de Operação válida e vigente.;N3;15,07224371
3062;676;A instalação portuária ainda não possui Licença de Operação, mas existe processo de licenciamento para regularização, o empreendedor já entregou ao órgão ambiental licenciador o estudo ambiental exigido e atualmente aguarda manifestação do mesmo.;N2;2,897060654
3063;676;A instalação portuária não possui Licença de Operação.;N1;0
3068;677;Acima do número mínimo de profissionais no Núcleo Ambiental.;N3;4,23787275
3069;677;Possui o número mínimo de profissionais no Núcleo Ambiental.;N2;2,305298777
3070;677;Abaixo do número mínimo de profissionais no Núcleo Ambiental.;N1;0
3071;678;Mais de 50% dos funcionários participaram de treinamento/capacitação.;N3;2,090917833
3072;678;Menos de 50% dos funcionários participaram de treinamento/capacitação.;N2;0,551023849
3073;678;Não participaram de treinamento/capacitação ou não foi atingido o mínimo de horas/pessoa.;N1;0
3075;679;A auditoria ambiental foi realizada até dois anos atrás.;N3;6,440173894
3076;679;A auditoria ambiental foi realizada há mais de dois anos atrás.;N2;1,697192185
3077;679;Nunca foi realizada auditoria ambiental.;N1;0
3078;680;Existe banco de dados com atualização mínima semestral.;N3;1,965496457
3079;680;Existe banco de dados, mas não há atualização mínima semestral.;N2;0,517971297
3080;680;Não existe banco de dados.;N1;0
3081;681;Atende todos os planos/programas listados abaixo.;N5;13,15768092
3082;681;Atende quatro dos planos/programas listados abaixo.;N4;7,580995149
3083;681;Atende três dos planos/programas listados abaixo.;N3;4,164002384
3084;681;Atende dois dos planos/programas listados abaixo.;N2;1,205075837
3085;681;Atende um dos planos/programas listados abaixo.;N1;0
3087;682;Nenhum acidente ambiental.;N5;4,404092577
3088;682;De um a três acidentes ambientais dentro do limite da área da instalação portuária.;N4;1,62621382
3089;682;Acima de três acidentes ambientais dentro do limite da área da instalação portuária.;N3;0,907212364
3090;682;De um a três acidentes ambientais além dos limites da área da instalação portuária.;N2;0,191263223
3091;682;Acima de três acidentes ambientais além dos limites da área da instalação portuária ou não é realizado o registro de acidentes.;N1;0
3092;683;Atende todas as opções listadas.;N5;11,0549169
3093;683;Atende três das opções listadas.;N4;6,369456131
3094;683;Atende duas das opções listadas.;N3;3,498542077
3095;683;Atende uma das opções listadas.;N2;1,01248946
3096;683;Não há retirada de resíduos dos navios na instalação portuária.;N1;0
3099;684;Atende todas as opções listadas.;N3;1,773439708
3100;684;Atende duas das opções listadas.;"N2 ";0
3101;684;Não atende qualquer das opções listadas.;N1;0
3102;685;Sim, utilizada em atividades operacionais e administrativas.;N3;0,53062068
3103;685;Sim, utilizada somente em atividades administrativas.;N2;0,193079303
3104;685;Não há geração de energia limpa e renovável pela instalação portuária.;N1;0
3105;686;Dispõe de sistema OPS.;N3;0,211685277
3106;686;Realizou estudo de viabilidade para implantação de um sistema OPS.;N2;0,087405917
3107;686;Não possui sistema OPS.;N1;0
3109;687;"Atende todas as opções listadas. ";N5;7,179028756
3110;687;Atende três das opções listadas.;N4;3,696632787
3111;687;Atende duas das opções listadas.;N3;1,691036524
3112;687;Atende uma das opções listadas.;N2;0,589402064
3113;687;Não atende nenhuma das opções listadas.;N1;0
3114;688;Mais de 22 dos itens listados.;N5;0,364069808
3115;688;De 18 a 22 dos itens listados.;N4;0,246927647
3116;688;De 12 a 17 dos itens listados.;N3;0,10785806
3117;688;De 7 a 11 dos itens listados.;N2;0,034126117
3118;688;Até 6 dos itens listados.;N1;0
3119;689;Há agenda ambiental local e há ações de implantação.;N3;1,783570522
3120;689;Há agenda ambiental local, mas não há ações de implantação.;N2;0,238245778
3121;689;Não foi elaborada agenda ambiental local.;N1;0
3122;690;Há agenda ambiental institucional e há ações de implantação.;N3;0,958285627
3123;690;Há agenda ambiental institucional, mas não há ações de implantação.;N2;0,128005875
3124;690;Não foi elaborada agenda ambiental institucional.;N1;0
3125;691;A instalação portuária possui duas ou mais certificações voluntárias.;N5;0,677610265
3126;691;A instalação portuária possui uma certificação voluntária.;N4;0,259181098
3127;691;Há certificação voluntária em processo de desenvolvimento.;N3;0,072105206
3128;691;Há planejamento formal para requisição de certificação voluntária.;N2;0,027957791
3129;691;Não atende a nenhuma das opções acima.;N1;0
3130;692;Atende todas as opções listadas.;N3;4,956450125
3131;692;Atende duas das opções listadas;N2;1,306183429
3132;692;Atende uma das opções listadas.;N1;0
3134;693;Realizou quatro ou mais ações de promoção de saúde no último ano.;N5;0,826075021
3135;693;Realizou três ações de promoção de saúde no último ano.;N4;0,47595551
3136;693;Realizou duas ações de promoção de saúde no último ano.;N3;0,261427403
3137;693;Realizou uma ação de promoção de saúde no último ano.;N2;0,075657941
3138;693;Não realizou qualquer ação de promoção de saúde no último ano.;N1;0
3139;694;Atende todas as opções listadas.;N5;1,652150042
3140;694;Atende três das opções listadas.;N4;1,019351309
3141;694;Atende duas das opções listadas.;N3;0,413807633
3142;694;Atende uma das opções listadas.;N2;0,107102375
3143;694;Não atende nenhuma das opções listadas.;N1;0
3145;695;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água e possui o registro sistematizado das informações na forma de um banco de dados.;N5;2,463109649
3146;695;A instalação portuária executa um programa de monitoramento contínuo ou periódico da qualidade da água, mas não possui o banco de dados;N4;0,823647994
3147;695;A instalação portuária apenas promove estudos ou levantamentos esporádicos da qualidade da água para atender o licenciamento de obras específicas (dragagens, ampliações, novas estruturas).;N3;0,38227129
3148;695;Não faz monitoramento ou promove estudos, mas possui dados secundários gerados por terceiros sem qualquer vínculo com o porto.;N2;0,132375982
3149;695;A instalação portuária não conhece ou dispõe de qualquer informação sobre a qualidade da água.;N1;0
3150;696;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N5;0,404970051
3151;696;"Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende 100% da área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).  ";N4;0,247696378
3152;696;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem é composto por medidas compensatórias (medidas de remediação).;N3;0,156624752
3153;696;Sim. Há um sistema de micro drenagem e um sistema de macro drenagem que atende parcialmente a área da instalação portuária. O sistema de macro drenagem não é composto por medidas compensatórias (medidas de remediação).;N2;0,068742829
3154;696;Não há sistema de drenagem pluvial na instalação portuária.;N1;0
3155;697;Há acompanhamento, indicadores de eficiência, metas de desempenho e ações de reuso.;N3;0,998742028
3156;697;Há controle das ações.;N2;0,232161534
3157;697;Não há controle das ações.;N1;0
3158;698;Há monitoramento ambiental da área dragada e da área de disposição;N3;1,235339539
3159;698;Há monitoramento ambiental da área dragada ou da área de disposição.;N2;0,449508483
3160;698;Não há monitoramento ambiental das dragagens.;N1;0
3161;699;"A instalação portuária nunca teve passivos ambientais. ";N5;1,235339539
3162;699;A instalação portuária teve passivos ambientais, que já foram remediados.;N4;0,684828835
3163;699;"A instalação portuária realizou remediação parcial dos passivos existentes ou a remediação ainda está em curso. ";N3;0,216403458
3164;699;A instalação portuária realizou diagnóstico dos passivos ambientais, mas não tomou medidas de remediação.;N2;0,072183342
3165;699;A instalação portuária possui passivos ambientais, mas não fez diagnóstico e nem adotou medidas de remediação.;N1;0
3166;700;É feito o monitoramento das emissões de materiais particulados E de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N5;1,101805927
3167;700;É feito o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular e foi elaborado o Inventário de Emissões com identificação das fontes e quantificação dos gases de efeito estufa.;N4;0,368436802
3168;700;É feito apenas o monitoramento das emissões de materiais particulados E de gases com periodicidade regular.;N3;0,170998791
3169;700;É feito apenas o monitoramento das emissões de materiais particulados OU de gases com periodicidade regular.;N2;0,059214839
3170;700;Não atende a nenhuma das opções acima.;N1;0
3171;701;Há monitoramento periódico de ruídos e existe inventário com identificação das fontes e respectivos níveis de ruído para elaboração de mapa de riscos (PPRA).;N3;0,367268642
3172;701;Foi elaborado o mapa de riscos, mas não é feito monitoramento dos ruídos com periodicidade regular.;N2;0,106424822
3173;701;Não atende a nenhuma das opções anteriores.;N1;0
3175;702;A instalação portuária atende todas as opções listadas.;N5;7,964752347
3176;702;Atende três das opções listadas.;N4;4,589011489
3177;702;Atende duas das opções listadas.;N3;2,52059979
3178;702;Atende uma das opções listadas.;N2;0,72946978
3179;702;Não atende nenhuma das opções listadas.;N1;0
3180;703;Já foi realizado levantamento das espécies para caracterização da biota (terrestre e/ou aquática) existente na área de influência direta da instalação portuária E há monitoramento de espécies ou grupo de espécies indicadoras de alterações da qualidade ambiental decorrentes da operação da instalação portuária (uso de bioindicadores).;N3;0,978458281
3181;703;Foi realizada a caracterização da biota OU são utilizados bioindicadores.;N2;0,25785511
3182;703;Não atende a nenhuma das opções anteriores.;N1;0
3184;704;Atende todas as opções listadas.;N5;2,935374843
3185;704;Atende três das opções listadas.;N4;1,691260229
3186;704;Atende duas das opções listadas.;N3;0,928956092
3187;704;Atende uma das opções listadas.;N2;0,268842915
3188;704;Não atende nenhuma das opções listadas.;N1;0
3190;705;Atende todas as opções listadas.;N3;0,978458281
3191;705;Atende duas das opções listadas.;N2;0,356035959
3192;705;Atende uma das opções listadas.;N1;0
3193;706;A instalação portuária possui Licença de Operação válida e vigente.;N3;12,59039418
3194;706;A instalação portuária ainda não possui Licença de Operação, mas existe processo de licenciamento para regularização, o empreendedor já entregou ao órgão ambiental licenciador o estudo ambiental exigido e atualmente aguarda manifestação do mesmo.;N2;2,42002029
3195;706;A instalação portuária não possui Licença de Operação.;N1;0
3200;707;Acima do número mínimo de profissionais no Núcleo Ambiental.;N3;3,540049473
3201;707;Possui o número mínimo de profissionais no Núcleo Ambiental.;N2;1,925700038
3202;707;Abaixo do número mínimo de profissionais no Núcleo Ambiental.;N1;0
